timestamp,hora,actas_pct,sanchez_votos,sanchez_pct,fujimori_votos,fujimori_pct,brecha,lima_sanchez_pct,lima_fujimori_pct,resto_sanchez_pct,resto_fujimori_pct,extranjero_sanchez_pct,extranjero_fujimori_pct
2026-06-07T20:00:00,07/06 20:00,12.99,,47.503,,52.497,,,,,,,
2026-06-08T00:06:00,08/06 00:06,74.795,,47.67,,52.33,,,,,,,
2026-06-08T01:02:00,08/06 01:02,80.492,7470812,48.271,8006073,51.729,-535261,,,,,
2026-06-08T01:50:00,08/06 01:50,87.653,,49.163,,50.837,,,,,,,
2026-06-08T07:58:00,08/06 07:58,92.844,8701432,49.883,8742402,50.117,-40970,,,,,
2026-06-08T08:32:00,08/06 08:32,93.03,8719223,49.911,8750166,50.089,-30943,,,,,
2026-06-09T00:00:00,09/06 00:00,93.777,8778409,49.992,8781323,50.008,-2914,,,,,
2026-06-09T12:00:00,09/06 12:00,96.335,,50.121,,49.879,,,,,,,
2026-06-10T06:15:00,10/06 06:15,97.029,8980277,50.075,8953430,49.925,26847,,,,,
2026-06-10T13:35:00,10/06 13:35,97.83,9013284,50.017,9007157,49.983,6127,,,,,
2026-06-11T13:20:26,11/06 08:20,98.216,9032092,49.998,9032653,50.002,-561,36.5,63.5,57.588,42.412,36.571,63.429
2026-06-11T21:20:18,11/06 16:20,98.241,9032092,49.998,9032653,50.002,-561,,,,,
2026-06-11T21:55:26,11/06 16:55,98.346,9013284,50.218,9007157,49.782,6127,,,,,
